year,contributions,interest,neg_amo
2001,0,0,0
2002,0,0,0
2003,23743931,23651504,-92427
2004,27432078,78276961,50844883
2005,56040018,182639890,126599872
2006,62730890,143599609,80868719
2007,59535414,125143639,65608225
2008,113579190,173482454,59903264
2009,161059969,368056734,206996765
2010,242626859,465200917,222574058
2011,264272952,577957180,313684228
2012,306536394,699113655,392577261
2013,31959044,456371385,424412341
2014,179815715,577470982,397655267
2015,204195803,599425177,395229374
2016,520836071,641425434,120589363
2017,406675385,766475312,359799927
2018,403872234,844346856,440474622
2019,424139403,872199033,448059630
2020,434848135,955440813,520592678
2021,415931608,1030057303,614125695
