year,private_equity,real_estate,hedge_funds,commodities,alternatives,public_equities,fixed_income,cash,total
2001,0.1001,0.1031,0.04905,0.01001,0.001,0.55856,0.17518,0.003,1
2002,0.11677,0.11577,0,0.01597,0,0.54691,0.1996,0.00499,1.00001
2003,0.10789,0.09091,0,0.01998,0,0.6044,0.16783,0.00899,1
2004,0.11078,0.08084,0,0,0,0.58782,0.21457,0.00599,1
2005,0.126,0.068,0,0,0.002,0.549,0.234,0.021,1
2006,0.132,0.079,0,0,0,0.563,0.214,0.012,1
2007,0.156,0.086,0.094,0,0,0.452,0.212,0,1
2008,0.215,0.107,0.105,0,0,0.333,0.207,0.033,1
2009,0.243,0.081,0.227,0,0,0.254,0.182,0.013,1
2010,0.26,0.091,0.152,0,0,0.276,0.191,0.03,1
2011,0.268,0.106,0.081,0,0,0.289,0.225,0.031,1
2012,0.244,0.164,0.078,0,0,0.337,0.153,0.024,1
2013,0.22378,0.15584,0.06893,0,0,0.35664,0.14685,0.04795,0.99999
2014,0.199,0.154,0.063,0,0,0.365,0.162,0.057,1
2015,0.18,0.138,0.064,0,0,0.387,0.165,0.066,1
2016,0.159,0.086,0.078,0,0,0.463,0.164,0.05,1
2017,0.139,0.075,0.079,0,0,0.53,0.145,0.032,1
2018,0.145,0.073,0.09,0,0,0.516,0.148,0.028,1
2019,0.131,0.069,0.06,0,0,0.552,0.141,0.047,1
2020,0.147,0.074,0.02,0,0,0.431,0.313,0.015,1
2021,0.16,0.074,0.027,0,0,0.474,0.243,0.022,1
