year,ava,mva,aal
2001,27505494000,24706063000,23658757000
2002,27497464000,20879559000,25285589000
2003,27465615000,24535949000,26179761000
2004,26900027000,26641399000,27999026000
2005,26793782000,28751871000,28851716000
2006,28148834000,32052830000,30364997000
2007,30839877000,35516198000,31753971000
2008,30635621000,22795813000,34437396000
2009,30204693000,24661949000,35797017000
2010,29443945000,25886102000,39179549000
2011,27618461000,24377179000,42281862000
2012,25302688000,25389335000,43055564000
2013,25975185000,27394156000,43874580000
2014,26584948000,27337778000,44750670000
2015,26877127000,26054890000,46328929000
2016,27596048000,26387889000,47518964000
2017,28776939000,29405042000,48439403000
2018,28989607000,26936990000,51782205000
2019,29934024000,31096319000,52972575000
2020,32703275000,35027730000,55098758000
2021,36846610595,40225058377,52926845902
