year,net_amo,rem_ual
2003,0,0
2004,442312495,656686505
2005,906582841,1151351159
2006,1406333281,809829719
2007,1951311591,-1037217591
2008,2557483318,1244291682
2009,3194201277,2398122723
2010,3144834938,6590769062
2011,3054553641,11608847359
2012,2899785420,14853090580
2013,2702033304,15197361696
2014,2486120692,15679601308
2015,2249350527,17202451473
2016,1980094639,17942821361
2017,1672702481,17989761519
2018,1342549882,21450048118
2019,953444264,22085106736
2020,522921310,21872561690
2021,45673019,16034562288
