year,contributions,interest,neg_amo
2001,608437313.3,643076313.3,-34639000
2002,638462097.9,820206097.9,-181744000
2003,769002702.9,2347302703,-1578300000
2004,836884575,1234915575,-398031000
2005,860234512.5,985483512.5,-125249000
2006,891710661.7,1160820662,-269110000
2007,917414111.3,1244042111,-326628000
2008,881236275.4,2700920275,-1819684000
2009,896272810,1398649810,-502377000
2010,920902856.3,2878158856,-1957256000
2011,965776560,3028054560,-2062278000
2012,839253568.3,3366095000,-2526841432
2013,1025409000,3743747000,-2718338000
2014,1635150000,2547495000,-912345000
2015,1756686000,2373124000,-616438000
2016,1862174000,2434867000,-572693000
2017,1478955433,1459230433,19725000
2018,1500007141,1246865141,253142000
2019,1507874214,1186570214,321304000
2020,1467801105,1061289105,406512000
2021,1344174756,799744756,544430000
2022,1776074436,1435496451,932071699
