year,ava,mva,aal
2001,54194672000,50078435000,59425300000
2002,48922845000,44882125000,63179664000
2003,48832974000,44802542000,65870116000
2004,52142005000,51411501000,69755632000
2005,53602192000,56182478000,73653736000
2006,57796066000,62126074000,77159040000
2007,66388829000,72935433000,80843960000
2008,68890780000,66837412000,87125120000
2009,54605848000,50095719000,91143944000
2010,55562446000,54140413000,94336856000
2011,57591291000,63116710000,98247000000
2012,58921803000,60693621000,1.05734E+11
2013,61904260000,64705982000,93680168000
2014,65802238000,70988658000,95312120000
2015,67711065000,70432646000,98069720000
2016,69081335000,66250103000,99723120000
2017,70963692000,71118707000,94873920000
2018,71656621000,73457567000,95445320000
2019,72781532000,74096240000,96210640000
2020,74357681000,72728360000,96672288000
2021,81761396000,89379038000,1.02591E+11
