year,arr,mva,ava
2001,0.085,-0.074,0.14
2002,0.085,0.053,0.03
2003,0.085,0.027,0.01
2004,0.085,0.197,0.03
2005,0.085,0.129,0.03
2006,0.085,0.153,0.08
2007,0.085,0.229,0.14
2008,0.0825,-0.028,0.12
2009,0.08,-0.265,0.04
2010,0.08,0.146,0.03
2011,0.075,0.204,0.06
2012,0.075,0.034,0.05
2013,0.075,0.08,0.05
2014,0.075,0.149,0.05
2015,0.075,0.03,0.05
2016,0.0725,0.013,0.04
2017,0.0725,0.101,0.03
2018,0.0725,0.093,0.04
2019,0.0725,0.067,0.07
2020,0.0725,0.011,0.06
2021,0.07,0.2458,0.07
2022,0.07,-0.054,0.0683
